line;code;canonical name;category;type;family code;family;sortkey?;autodetect?;exceptional?;script codes;other names;standard characters
2360;gsg;German Sign Language;German Sign Language;regular;sgn-gsl;German Sign Languages;;;;Sgnw;;
2361;gsl;Gusilay;Gusilay language;regular;alv-jol;Jola;;;;Latn;;
2362;gsm;Guatemalan Sign Language;Guatemalan Sign Language;regular;sgn;sign;;;;Latn;;
2363;gsn;Gusan;Gusan language;regular;ngf-fin;Finisterre;;;;Latn;;
2364;gso;Southwest Gbaya;Southwest Gbaya language;regular;gba-sou;Southern Gbaya;;;;Latn;;
2365;gsp;Wasembo;Wasembo language;regular;ngf-mad;Madang;;;;Latn;;
2366;gss;Greek Sign Language;Greek Sign Language;regular;sgn;sign;;;;;;
2367;gsw;Alemannic German;Alemannic German language;regular;gmw-hgm;High German;;;;Latn;;
2368;gta;Guató;Guató language;regular;qfa-iso;isolate;;;;Latn;;
2369;gtu;Aghu Tharrnggala;Aghu Tharrnggala language;regular;aus-pmn;Paman;;;;Latn;;
2370;gu;Gujarati;Gujarati language;regular;inc-wes;Western Indo-Aryan;;autodetect;;Arab,Gujr;;
2371;gua;Shiki;Shiki language;regular;nic-jrn;Jarawan;;;;Latn;;
2372;gub;Guajajára;Guajajára language;regular;tup-gua;Tupi-Guarani;;;;Latn;;
2373;guc;Wayuu;Wayuu language;regular;awd-taa;Ta-Arawakan;;;;Latn;;
2374;gud;Yocoboué Dida;Yocoboué Dida language;regular;kro-did;Dida;;;;Latn;;
2375;gue;Gurindji;Gurindji language;regular;aus-pam;Pama-Nyungan;;;;Latn;;
2376;guf;Gupapuyngu;Gupapuyngu language;regular;aus-yol;Yolngu;;;;Latn;;
2377;gug;Paraguayan Guaraní;Paraguayan Guaraní language;regular;tup-gua;Tupi-Guarani;;;;Latn;Jopará,Yopará;
2378;guh;Guahibo;Guahibo language;regular;sai-guh;Guahiban;;;;Latn;;
2379;gui;Eastern Bolivian Guaraní;Eastern Bolivian Guaraní language;regular;tup-gua;Tupi-Guarani;;;;Latn;Ava Guaraní,Chiriguanos;
2380;guk;Gumuz;Gumuz language;regular;ssa;Nilo-Saharan;;;;Latn,Ethi;;
2381;gul;Gullah;Gullah language;regular;crp;creole or pidgin;;;;Latn;Geechee,Sea Island Creole English;
2382;gum;Guambiano;Guambiano language;regular;sai-bar;Barbacoan;;;;Latn;;
2383;gun;Mbyá Guaraní;Mbyá Guaraní language;regular;tup-gua;Tupi-Guarani;;;;Latn;Mbyá,Mbya,Mbyhá,Mbiá,Mbua,Mbüá,Mbü'a,Mbü'a Guaraní,Jeguaká Tenondé,Bwihá,Caiua,Kaiwá,Kayová,Cahygua,Caingua;
2384;guo;Guayabero;Guayabero language;regular;sai-guh;Guahiban;;;;Latn;;
2385;gup;Gunwinggu;Gunwinggu language;regular;aus-gun;Gunwinyguan;;;;Latn;Bininj Gunwok,Bininj Gun-Wok,Bininj Kunwok,Bininj Kun-Wok,Kunwinjkuan,Kunwinjku,Gunwinjgu,Kuninjku,Kundjeyhmi,Gundjeihmi,Manyallaluk Mayali,Mayali,Kundedjnjenghmi,Kune Dulerayek,Kune Narayek,Kune;
2386;guq;Aché;Aché language;regular;tup;Tupian;;;;Latn;Guayaki;
2387;gur;Farefare;Farefare language;regular;nic-mre;Moré;;;;Latn;Frafra,Gurene,Gurenɛ,Gurenne,Gudenne,Gudeni,Zuadeni,Nankani,Naani,Nankanse,Ninkare,Booni;
2388;gus;Guinean Sign Language;Guinean Sign Language;regular;sgn;sign;;;;Latn;;
2389;gut;Maléku Jaíka;Maléku Jaíka language;regular;cba;Chibchan;;;;Latn;;
2390;guu;Yanomamö;Yanomamö language;regular;sai-ynm;Yanomami;;;;Latn;;
2391;guv;Gey;Gey language;regular;alv-sav;Savanna;;;;Latn;;
2392;guw;Gun;Gun language;regular;alv-gbe;Gbe;;autodetect;;Latn;Gun-Gbe,Gungbe;
2393;gux;Gourmanchéma;Gourmanchéma language;regular;nic-grm;Gurma;;;;Latn;;
2394;guz;Gusii;Gusii language;regular;bnt-lok;Logooli-Kuria;;;;Latn;;
2395;gv;Manx;Manx language;regular;cel-gae;Goidelic;sortkey;;;Latn;;standard characters
2396;gva;Kaskihá;Kaskihá language;regular;sai-mas;Mascoian;;;;Latn;Guana,Guaná,Guana (Paraguay),Mascoian Guana;
2397;gvc;Guanano;Guanano language;regular;sai-tuc;Tucanoan;;;;Latn;;
2398;gve;Duwet;Duwet language;regular;poz-ocw;Western Oceanic;;;;Latn;;
2399;gvf;Golin;Golin language;regular;ngf;Trans-New Guinea;;;;Latn;;
2400;gvj;Guajá;Guajá language;regular;tup;Tupian;;;;Latn;Awá,Ayaya,Guaxare,Wazaizara;
2401;gvl;Gulay;Gulay language;regular;csu-sar;Sara;;;;Latn;;
2402;gvm;Gurmana;Gurmana language;regular;nic-shi;Shiroro;;;;Latn;;
2403;gvn;Kuku-Yalanji;Kuku-Yalanji language;regular;aus-pam;Pama-Nyungan;;;;Latn;;
2404;gvo;Gavião do Jiparaná;Gavião do Jiparaná language;regular;tup;Tupian;;;;Latn;Gavião of Jiparaná,Digüt,Ikolen,Gavião do Rondônia,Zoró;
2405;gvp;Pará Gavião;Pará Gavião language;regular;sai-nje;Northern Jê;;;;Latn;;
2406;gvr;Western Gurung;Western Gurung language;regular;sit-tam;Tamangic;;;;Gukh,Deva;;
2407;gvs;Gumawana;Gumawana language;regular;poz-ocw;Western Oceanic;;;;Latn;;
2408;gvy;Guyani;Guyani language;regular;aus-pam;Pama-Nyungan;;;;Latn;;
2409;gwa;Mbato;Mbato language;regular;alv-ptn;Potou-Tano;;;;Latn;;
2410;gwb;Gwa;Gwa language;regular;nic-jrn;Jarawan;;;;Latn;;
2411;gwc;Kalami;Kalami language;regular;inc-koh;Kohistani;;;;Arab;;
2412;gwd;Gawwada;Gawwada language;regular;cus-eas;East Cushitic;;;;;;
2413;gwe;Gweno;Gweno language;regular;bnt-chg;Chaga;;;;Latn;;
2414;gwf;Gowro;Gowro language;regular;inc-koh;Kohistani;;;;;;
2415;gwg;Moo;Moo language;regular;alv-bwj;Bikwin-Jen;;;;Latn;;
2416;gwi;Gwich'in;Gwich'in language;regular;ath-nor;North Athabaskan;;;;Latn;Gwich’in,Kutchin,Takudh,Tukudh,Loucheux;
2417;gwj;Gcwi;Gcwi language;regular;khi-kal;Kalahari Khoe;;;;Latn;;
2418;gwm;Awngthim;Awngthim language;regular;aus-pmn;Paman;;;;Latn;;
2419;gwn;Gwandara;Gwandara language;regular;cdc-wst;West Chadic;;;;Latn;;
2420;gwr;Gwere;Gwere language;regular;bnt-nyg;Nyoro-Ganda;;;;Latn;;
2421;gwt;Gawar-Bati;Gawar-Bati language;regular;inc-kun;Kunar;;;;;;
2422;gwu;Guwamu;Guwamu language;regular;aus-pam;Pama-Nyungan;;;;Latn;;
2423;gww;Kwini;Kwini language;regular;aus-wor;Worrorran;;;;Latn;;
2424;gwx;Gua;Gua language;regular;alv-gng;Guang;;;;Latn;;
2425;gxx;Wè Southern;Wè Southern language;regular;kro-wee;Wee;;;;Latn;;
2426;gya;Northwest Gbaya;Northwest Gbaya language;regular;gba-wes;Western Gbaya;;;;Latn;;
2427;gyb;Garus;Garus language;regular;ngf-mad;Madang;;;;Latn;;
2428;gyd;Kayardild;Kayardild language;regular;aus-tnk;Tangkic;;;;Latn;;
2429;gye;Gyem;Gyem language;regular;nic-jer;Jera;;;;Latn;;
2430;gyf;Gungabula;Gungabula language;regular;aus-pam;Pama-Nyungan;;;;Latn;;
2431;gyg;Gbayi;Gbayi language;regular;nic-ngd;Ngbandi;;;;Latn;;
2432;gyi;Gyele;Gyele language;regular;bnt-mnj;Makaa-Njem;;;;Latn;;
2433;gyl;Gayil;Gayil language;regular;omv-aro;Aroid;;;;Latn;;
2434;gym;Ngäbere;Ngäbere language;regular;cba;Chibchan;;;;Latn;;
2435;gyn;Guyanese Creole English;Guyanese Creole English language;regular;crp;creole or pidgin;;;;Latn;;
2436;gyo;Gyalsumdo;Gyalsumdo language;regular;sit-kyk;Kyirong-Kagate;;;;;;
2437;gyr;Guarayu;Guarayu language;regular;tup-gua;Tupi-Guarani;;;;Latn;;
2438;gyy;Gunya;Gunya language;regular;aus-pam;Pama-Nyungan;;;;Latn;;
2439;gza;Ganza;Ganza language;regular;omv-mao;Mao;;;;Latn;;
2440;gzn;Gane;Gane language;regular;poz-hce;Halmahera-Cenderawasih;;;;Latn;;
2441;ha;Hausa;Hausa language;regular;cdc-wst;West Chadic;sortkey;autodetect;;Latn,Arab;;
2442;haa;Hän;Hän language;regular;ath-nor;North Athabaskan;;;;Latn;Haen,Han,Dawson,Moosehide,Hän-Kutchin,Han-Kutchin;
2443;hab;Hanoi Sign Language;Hanoi Sign Language;regular;sgn;sign;;;;Latn;;
2444;hac;Gurani;Gurani language;regular;ira-zgr;Zaza-Gorani;;;;ku-Arab;Gorani,Avromani,Awroman,Awromani,Hawramani,Hawrami,Hewrami,Hourami,Howrami,Ourami;
2445;had;Hatam;Hatam language;regular;paa-wpa;West Papuan;;;;;;
2446;haf;Haiphong Sign Language;Haiphong Sign Language;regular;sgn;sign;;;;;;
2447;hag;Hanga;Hanga language;regular;nic-dag;Dagbani;;;;Latn;;
2448;hah;Hahon;Hahon language;regular;poz-ocw;Western Oceanic;;;;Latn;;
2449;hai;Haida;Haida language;regular;qfa-iso;isolate;;;;Latn;;
2450;haj;Hajong;Hajong language;regular;qfa-mix;mixed;;;;as-Beng,Latn;;
2451;hak;Hakka;Hakka language;regular;zhx;Sinitic;sortkey;;;Hani,Hant,Hans;;
2452;hal;Halang;Halang language;regular;mkh;Mon-Khmer;;;;;;
2453;ham;Hewa;Hewa language;regular;paa-spk;Sepik;;;;;;
2454;hao;Hakö;Hakö language;regular;poz-ocw;Western Oceanic;;;;Latn;;
2455;hap;Hupla;Hupla language;regular;ngf;Trans-New Guinea;;;;;;
2456;har;Harari;Harari language;regular;sem-eth;Ethiopian Semitic;;;;Ethi;;
2457;has;Haisla;Haisla language;regular;wak;Wakashan;;;;;;
2458;hav;Havu;Havu language;regular;bnt-shh;Shi-Havu;;;;Latn;;
2459;haw;Hawaiian;Hawaiian language;regular;poz-pep;Eastern Polynesian;sortkey;;;Latn;;standard characters
2460;hax;Southern Haida;Southern Haida language;regular;qfa-iso;isolate;;;;;;
2461;hay;Haya;Haya language;regular;bnt-haj;Haya-Jita;;;;;;
2462;hba;Hamba;Hamba language;regular;bnt-tet;Tetela;;;;;;
2463;hbb;Huba;Huba language;regular;cdc-cbm;Central Chadic;;;;;Kilba;
2464;hbn;Heiban;Heiban language;regular;alv-hei;Heiban;;;;;;
2465;hbu;Habu;Habu language;regular;poz-cet;Central-Eastern Malayo-Polynesian;;;;Latn;;
2466;hca;Andaman Creole Hindi;Andaman Creole Hindi language;regular;crp;creole or pidgin;;;;;;
2467;hch;Huichol;Huichol language;regular;azc;Uto-Aztecan;;;;Latn;;
2468;hdn;Northern Haida;Northern Haida language;regular;qfa-iso;isolate;;;;;;
2469;hds;Honduras Sign Language;Honduras Sign Language;regular;sgn;sign;;;;Latn;Honduran Sign Language;
2470;hdy;Hadiyya;Hadiyya language;regular;cus-hec;Highland East Cushitic;;;;;;
2471;he;Hebrew;Hebrew language;regular;sem-can;Canaanite;;autodetect;;Hebr,Phnx,Brai;;
2472;hea;Northern Qiandong Miao;Northern Qiandong Miao language;regular;hmn;Hmong;;;;;Black Miao;
2473;hed;Herdé;Herdé language;regular;cdc-mas;Masa;;;;;;
2474;heg;Helong;Helong language;regular;poz-tim;Timoric;;;;Latn;;
2475;heh;Hehe;Hehe language;regular;bnt-bki;Bena-Kinga;;;;Latn;;
2476;hei;Heiltsuk;Heiltsuk language;regular;wak;Wakashan;;;;;;
2477;hem;Hemba;Hemba language;regular;bnt-lbn;Luban;;;;;;
2478;hgm;Haiǁom;Haiǁom language;regular;khi-khk;Khoekhoe;;;;Latn;;
2479;hgw;Haigwai;Haigwai language;regular;poz-ocw;Western Oceanic;;;;Latn;;
2480;hhi;Hoia Hoia;Hoia Hoia language;regular;ngf;Trans-New Guinea;;;;;;
2481;hhr;Kerak;Kerak language;regular;alv-jfe;Jola-Felupe;;;;;;
2482;hhy;Hoyahoya;Hoyahoya language;regular;ngf;Trans-New Guinea;;;;;;
2483;hi;Hindi;Hindi language;regular;inc-hnd;Hindustani;;;;Deva,Kthi,Newa;Hindavi;standard characters
2484;hia;Lamang;Lamang language;regular;cdc-cbm;Central Chadic;;;;Latn;;
2485;hib;Hibito;Hibito language;regular;;;;;;;
2486;hid;Hidatsa;Hidatsa language;regular;sio-mor;Missouri River Siouan;;;;Latn;;
2487;hif;Fiji Hindi;Fiji Hindi language;regular;inc-hie;Eastern Hindi;;;;Latn;;
2488;hig;Kamwe;Kamwe language;regular;cdc-cbm;Central Chadic;;;;;Higgi,Higi;
2489;hih;Pamosu;Pamosu language;regular;ngf-mad;Madang;;;;;;
2490;hii;Hinduri;Hinduri language;regular;him;Western Pahari;;;;;;
2491;hij;Hijuk;Hijuk language;regular;bnt-bsa;Basaa;;;;;;
2492;hik;Seit-Kaitetu;Seit-Kaitetu language;regular;poz-cma;Central Maluku;;;;;;
2493;hil;Hiligaynon;Hiligaynon language;regular;phi;Philippine;sortkey;autodetect;;Latn;;standard characters
2494;hio;Tshwa;Tshwa language;regular;khi-kal;Kalahari Khoe;;;;;Tsoa,Kua,Cua,Hiechware,Cirecire,Cire-cire,Cire-Cire,Cire Cire;
2495;hir;Himarimã;Himarimã language;regular;;;;;;;
2496;hit;Hittite;Hittite language;regular;ine-ana;Anatolian;;;;Xsux;;
2497;hiw;Hiw;Hiw language;regular;poz-vnn;North Vanuatu;;;;Latn;;
2498;hix;Hixkaryana;Hixkaryana language;regular;sai-prk;Parukotoan;;;;Latn;Hixkaryána;
2499;hji;Haji;Haji language;regular;poz-mly;Malayic;;;;;;
2500;hka;Kahe;Kahe language;regular;bnt-chg;Chaga;;;;Latn;;
2501;hke;Hunde;Hunde language;regular;bnt-shh;Shi-Havu;;;;Latn;;
2502;hkh;Pogali;Pogali language;regular;inc-kas;Kashmiric;;;;;;
2503;hkk;Hunjara-Kaina Ke;Hunjara-Kaina Ke language;regular;ngf;Trans-New Guinea;;;;;;
2504;hkn;Mel-Khaonh;Mel-Khaonh language;regular;mkh-ban;Bahnaric;;;;;Mel,Khaonh;
2505;hks;Hong Kong Sign Language;Hong Kong Sign Language;regular;sgn;sign;;;;;;
2506;hla;Halia;Halia language;regular;poz-ocw;Western Oceanic;;;;Latn;;
